,Position,Artist,Streams,URL,Year,Month,Day,Track Name
165,166,Michael Bublé,3194315,https://open.spotify.com/track/5Ber68jZ7ytegr2UISEdb7,2016,12,30,Santa Claus Is Coming to Town
166,167,Young Thug,3161853,https://open.spotify.com/track/20dP2DaMHIAmwWAbp7peSr,2016,12,30,pick up the phone
167,168,Chance the Rapper,3153421,https://open.spotify.com/track/0v9Wz8o0BT8DU38R4ddjeH,2016,12,30,No Problem (feat. Lil Wayne & 2 Chainz)
168,169,Sam Smith,3152235,https://open.spotify.com/track/7Hz6LLOVxrojLPIHJJ1S0E,2016,12,30,Have Yourself A Merry Little Christmas
169,170,State of Sound,3130502,https://open.spotify.com/track/2s76aKBWKShlwPC4xTtEEE,2016,12,30,Wake Up Where You Are
170,171,Mykola Dmytrovych Leontovych,3123441,https://open.spotify.com/track/4tHqQMWSqmL6YjXwsqthDI,2016,12,30,Carol of the Bells
171,172,Bruno Mars,3118035,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU,2016,12,30,That's What I Like
172,173,Michael Bublé,3094942,https://open.spotify.com/track/4qBejt9FeqLI9blHI1Nq1x,2016,12,30,Jingle Bells (feat. The Puppini Sisters)
173,174,Drake,3088142,https://open.spotify.com/track/2FBUoWkIuQXwayw2RNo5l6,2016,12,30,Hotline Bling
174,175,Galantis,3085962,https://open.spotify.com/track/0gb1J5UrTpzaU1s3nupgCd,2016,12,30,No Money
175,176,Boney M.,3052833,https://open.spotify.com/track/6YnzBV7YkaXZNCK3tlnCfg,2016,12,30,Mary's Boy Child / Oh My Lord
176,177,Lil Uzi Vert,3052662,https://open.spotify.com/track/2ANLarE8yHVsLWW21nj79M,2016,12,30,You Was Right
177,178,Wisin,3051423,https://open.spotify.com/track/3dQDid3IUNhZy1OehIfYfE,2016,12,30,Vacaciones
178,179,The Weeknd,3045375,https://open.spotify.com/track/2LBqCSwhJGcFQeTHMVGwy3,2016,12,30,Die For You
179,180,The Weeknd,3039017,https://open.spotify.com/track/25khomWgBVamSdKw7hzm3l,2016,12,30,The Hills
180,181,James Hersey,3028820,https://open.spotify.com/track/7of1slAJIWrXxP8ikAHxje,2016,12,30,Miss You
181,182,Drake,3019544,https://open.spotify.com/track/27GmP9AWRs744SzKcpJsTZ,2016,12,30,Jumpman
182,183,G-Eazy,3005489,https://open.spotify.com/track/1Bqxj0aH5KewYHKUg1IdrF,2016,12,30,Some Kind Of Drug
183,184,San Holo,3004050,https://open.spotify.com/track/7zTx8ePYAmPFQuxP3xlXZn,2016,12,30,Light
